id,Ep,l,r,h,litho
1,0.6,0,0.6,5,CSt
2,2.97,0.6,3.57,3,S
3,0.25,3.57,3.82,4,StS
4,0.13,3.82,3.95,3.5,StC
5,0.05,3.95,4,3,S
6,0.2,4,4.2,4,CSt
7,0.05,4.2,4.25,3,S
8,0.15,4.25,4.4,4,StS
9,0.4,4.4,4.8,3,S
10,0.15,4.8,4.95,5,C
11,0.35,4.95,5.3,5,C
12,0.5,5.3,5.8,5,C
13,0.05,5.8,5.85,4,StS
14,0.45,5.85,6.3,5,C
15,0.03,6.3,6.33,4,StS
16,0.09,6.33,6.42,5,C
17,0.02,6.42,6.44,4,StS
18,0.7,6.44,7.14,3,S
19,0.32,7.14,7.46,5,CSt
20,1.1,7.46,8.56,3,S
21,0.7,8.56,9.26,3.5,S
22,0.63,9.26,9.89,3.5,S
23,0.17,9.89,10.06,5,StC
24,0.03,10.06,10.09,4,StC
25,0.07,10.09,10.16,5,CSt
26,0.12,10.16,10.28,5,StC
27,0.05,10.28,10.33,4,StS
28,0.1,10.33,10.43,5,StC
29,0.3,10.43,10.73,3,S
30,0.3,10.73,11.03,5,StC
31,0.15,11.03,11.18,3,S
32,0.1,11.18,11.28,4,CSt
33,0.2,11.28,11.48,3,S
34,0.4,11.48,11.88,5,C
35,0.32,11.88,12.2,3,S
36,0.33,12.2,12.53,5,C
37,0.06,12.53,12.59,3,CSt
38,0.3,12.59,12.89,5,StC
39,0.2,12.89,13.09,5,CSt
40,0.05,13.09,13.14,3.5,StS
41,0.35,13.14,13.49,5,StC
42,0.6,13.49,14.09,3,S
43,0.15,14.09,14.24,5,StC
44,0.65,14.24,14.89,3,S
45,0.35,14.89,15.24,4.5,C
46,0.32,15.24,15.56,5,C
47,0.05,15.56,15.61,4,C
48,0.15,15.61,15.76,3,M
49,0.2,15.76,15.96,5,C
50,0.35,15.96,16.31,5,C
51,0.16,16.31,16.47,5,C
52,0.11,16.47,16.58,3,StSC
53,0.4,16.58,16.98,5,C
54,0.31,16.98,17.29,3,S
55,0.29,17.29,17.58,5,C
56,0.03,17.58,17.61,3,S
57,0.27,17.61,17.88,5,C
58,0.06,17.88,17.94,3,S
59,0.4,17.94,18.34,5,C
60,0.38,18.34,18.72,3,S
61,0.21,18.72,18.93,4.5,C
62,0.25,18.93,19.18,3,S
63,0.15,19.18,19.33,4.5,C
64,0.17,19.33,19.5,3,S
65,0.02,19.5,19.52,4,M
66,0.05,19.52,19.57,3,S
67,0.03,19.57,19.6,4,M
68,0.02,19.6,19.62,3,S
69,0.25,19.62,19.87,4.5,C
70,0.02,19.87,19.89,3,S
71,0.18,19.89,20.07,4.5,C
72,0.12,20.07,20.19,3,S
73,0.31,20.19,20.5,5,C
74,0.32,20.5,20.82,5,C
75,0.34,20.82,21.16,5,C
76,0.2,21.16,21.36,3,S
77,0.35,21.36,21.71,5,C
78,0.3,21.71,22.01,5,C
79,0.6,22.01,22.61,5,C
80,0.4,22.61,23.01,5,C
81,0.02,23.01,23.03,3.5,M
82,0.05,23.03,23.08,4,C
83,0.03,23.08,23.11,3.5,M
